slot_id,domain,query_id,locator_url,http_status,error_summary,raw_body_file,raw_body_sha256,retried_attempts,terminal_condition
MINISTRY-01,moh.gov.vn,DQ-IMPL-02,site:moh.gov.vn quy hoạch chính sách AI y tế,200,OK,raw-artifacts/search-MINISTRY-01-moh.gov.vn-DQ-IMPL-02.body,7C40883BA6B63B975CD158F62E4F4D4D1ED793CDB6611F4865C3695FB603B6A2,3,SEARCH_RAW_RESPONSE_CAPTURED
MINISTRY-01,moh.gov.vn,DQ-IMPL-02,https://cds.moh.gov.vn/trang-chu/-/asset_publisher/9VNAsbzkEbQA/content/thuc-ay-nghien-cuu-ao-tao-va-ung-dung-tri-tue-nhan-tao-trong-linh-vuc-y-te-tang-cuong-oi-thoai-chinh-sach-va-ket-noi-cac-ben-lien-quan?inheritRedirect=false,0,URLError,raw-artifacts/doc-MINISTRY-01-moh.gov.vn-DQ-IMPL-02-pos1.body,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,3,DOCUMENT_PROBED
MINISTRY-01,moh.gov.vn,DQ-IMPL-02,https://adminmoh.moh.gov.vn/en_US/web/guest/hoat-dong-cua-lanh-dao-bo/-/asset_publisher/TW6LTp1ZtwaN/content/quy-hoach-tong-the-nganh-y-te-toi-nam-2045-am-bao-hien-ai-cong-bang-va-hieu-qua?inheritRedirect=false&redirect=https%3A%2F%2Fadminmoh.moh.gov.vn%3A443%2Fen_US%2Fweb%2Fguest%2Fhoat-dong-cua-lanh-dao-bo%3Fp_p_id%3D101_INSTANCE_TW6LTp1ZtwaN%26p_p_lifecycle%3D0%26p_p_state%3Dnormal%26p_p_mode%3Dview%26p_p_col_id%3Drow-0-column-2%26p_p_col_count%3D2,0,URLError,raw-artifacts/doc-MINISTRY-01-moh.gov.vn-DQ-IMPL-02-pos2.body,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,3,DOCUMENT_PROBED
MINISTRY-01,moh.gov.vn,DQ-IMPL-02,https://moh.gov.vn/index.jsp?pageId=5803&aid=168111&cid=8430,0,URLError,raw-artifacts/doc-MINISTRY-01-moh.gov.vn-DQ-IMPL-02-pos3.body,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,3,DOCUMENT_PROBED
MINISTRY-01,moh.gov.vn,DQ-IMPL-02,https://moh.gov.vn/index.jsp?pageId=5803&aid=167259&cid=8430,0,URLError,raw-artifacts/doc-MINISTRY-01-moh.gov.vn-DQ-IMPL-02-pos4.body,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,3,DOCUMENT_PROBED
MINISTRY-01,moh.gov.vn,DQ-IMPL-02,https://cds.moh.gov.vn/trang-chu/-/asset_publisher/9VNAsbzkEbQA/content/ai-trong-benh-vien-nguoi-benh-uoc-loi-gi-?inheritRedirect=false,0,URLError,raw-artifacts/doc-MINISTRY-01-moh.gov.vn-DQ-IMPL-02-pos5.body,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,3,DOCUMENT_PROBED
MINISTRY-01,moh.gov.vn,DQ-IMPL-01,site:moh.gov.vn trí tuệ nhân tạo y tế,200,OK,raw-artifacts/search-MINISTRY-01-moh.gov.vn-DQ-IMPL-01.body,FB41116469292B154B2D71F0194E7C50979C79987A089C3927EEEBE6585E4810,3,SEARCH_RAW_RESPONSE_CAPTURED
MINISTRY-01,moh.gov.vn,DQ-IMPL-01,https://moh.gov.vn/index.jsp?pageId=5803&aid=167205&cid=8430,0,URLError,raw-artifacts/doc-MINISTRY-01-moh.gov.vn-DQ-IMPL-01-pos1.body,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,3,DOCUMENT_PROBED
MINISTRY-01,moh.gov.vn,DQ-IMPL-01,https://moh.gov.vn/index.jsp?pageId=5803&aid=156765&cid=7262,0,URLError,raw-artifacts/doc-MINISTRY-01-moh.gov.vn-DQ-IMPL-01-pos2.body,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,3,DOCUMENT_PROBED
MINISTRY-01,moh.gov.vn,DQ-IMPL-01,https://vnpa.moh.gov.vn/bac-si-ai-va-bai-toan-nhan-luc-y-te-hop-tac-giua-cong-nghe-va-nhan-van/,200,OK,raw-artifacts/doc-MINISTRY-01-moh.gov.vn-DQ-IMPL-01-pos3.body,D69FDC367ABF482E569FC7AB4A234C8468FFD2E3E8F8A0C5EFABF319D69967BF,3,DOCUMENT_PROBED
